"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2018.08.01","X2018.08.02","X2018.08.03","X2018.08.04","X2018.08.05","X2018.08.06","X2018.08.07","X2018.08.08","X2018.08.09","X2018.08.10","X2018.08.11","X2018.08.12","X2018.08.13","X2018.08.14","X2018.08.15","X2018.08.16","X2018.08.17","X2018.08.18","X2018.08.19","X2018.08.20","X2018.08.21","X2018.08.22","X2018.08.23","X2018.08.24","X2018.08.25","X2018.08.26","X2018.08.27","X2018.08.28","X2018.08.29","X2018.08.30","X2018.08.31"
2.1,"KAHUKU MAUKA","COOP","COOP","BI",957,19.1089,-155.7467,"USC00512566",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,5.21016685451443,0,0,0,0,0,0,2.17090285604768,9.33488228100502,4.99307656890966,0,0,3.03926399846675,26.1593794153745,45.8060502626061,28.9815531282365,2.7136285700596,0,0,4.66744114050251,10.745969137436,3.03926399846675
2.32,"SOUTH KONA 2 2.32","COOP","COOP","BI",647,19.10778,-155.78944,"USC00518652",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,2,8.6,4.6,0,0,2.8,24.1,42.2,26.7,2.5,0,0,4.3,9.9,2.8
2.34,"MILOLII 2.34","COOP","COOP","BI",280,19.186302,-155.886763,"USC00516304",NA,NA,NA,NA,0,0,25.9,0,0,0,0,0,0,9.7,11.7,1.5,0,0,0,0,0,0,14,0,2.8,0.5,19.8,0.5,29.2,0,1.8,16.5,9.1,0,1.8
2.36,"KAPUA 2.36","COOP","COOP","BI",533,19.14472,-155.84944,"USC00513376",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.8,0,0,1.5,0,0,0,0,2,2.5,2.5,0,0,19.6,0.3,33.8,2,7.9,18.3,0,7.1,26.7
3.22,"HAWAIIAN OCEAN VIEW 4.7 NNE","HAWAIIAN OCEAN VIEW 4.7 NNE","CoCoRaHS","BI",1273,19.135,-155.747,"US1HIHI0035",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.3,0.5,0.5,0,0,0,0,0,0,1.8,2.5,2.3,0,0,36.3,19.8,72.4,4.1,0,0,0,11.4,6.6
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,0,0,0,0.5,4,0.300000000000011,0,1,7.40000000000003,11.9,4.60000000000002,0.199999999999989,0,0,7.69999999999999,1.69999999999999,5.60000000000002,16.3,7.79999999999995,7.70000000000005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4.12,"NAALEHU 4.6 WSW","NAALEHU 4.6 WSW","CoCoRaHS","BI",391,19.0424,-155.6354,"US1HIHI0001",NA,NA,NA,NA,0,0,0,0,2.81162825459254,0.184975543065299,0.110985325839179,0,0.480936411969777,22.0706605271981,3.40062434070033,2.54328392171009,0.110985325839179,0,0,8.43488476377764,1.10985325839179,1.43988358420816,27.511867145019,1.88675053926605,1.40581412729627,0,68.4666310473189,65.3849360431178,117.321808078776,7.99635801780863,0.369951086130598,4.52991879749817,3.18983711407558,1.77576521342687,0.295960868904478
4.13,"NAALEHU 5.0 WSW","NAALEHU 5.0 WSW","CoCoRaHS","BI",436,19.0424,-155.643,"US1HIHI0010",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,37.1479615736969,0.892443521290016,1.45022072209628,0,0,0,NA,NA,0.892443521290016,36.2555180524069,0,0,0,86.6785770052928,91.4754609322266,178.823370578487,11.0439885759639,0,6.24710464903011,3.12355232451506,0,0
4.14,"NAALEHU 4.7 WSW, HI US","CoCoRaHs","CoCoRaHs","BI",393.18,19.0421,-155.6371,"US1HIHI0057",NA,NA,NA,NA,0,0,0,0,1.3,0,0,0,0,24.9,1.3,3,0,0,0,5.3,NA,1.8,24.9,1.3,0,0,53.8,42.7,82.6,7.1,0,2.3,1.3,0,0
5.1,"Kamaoa Puueo 5.1","COOP","COOP","BI",317,19.01361,-155.66194,"USC00513054",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,26.3695086319473,0.633501708875611,1.02944027692287,0,0,0,NA,0.8,0.633501708875611,25.7360069230717,0,0,0,61.5288534745437,38.1,78.7,7.83958364733568,0,4.43451196212927,2.21725598106464,0,0
