"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30"
2.32,"SOUTH KONA 2 2.32","COOP","COOP","BI",647,19.10778,-155.78944,"USC00518652",NA,NA,NA,NA,0,NA,NA,3,NA,NA,3.8,NA,NA,NA,0,NA,NA,1.5,NA,NA,NA,NA,NA,0,NA,7.6,NA,0,NA,0,NA,NA,0,0.5
2.34,"MILOLII 2.34","COOP","COOP","BI",280,19.186302,-155.886763,"USC00516304",NA,NA,NA,NA,NA,2,8.1,7.6,NA,NA,2,7.6,0.3,6.1,1.5,5.1,NA,NA,0.5,NA,8.1,0.5,2,0.5,2.8,3.3,NA,0,NA,0,6.4,4.3,0,0
2.36,"KAPUA 2.36","COOP","COOP","BI",533,19.14472,-155.84944,"USC00513376",NA,NA,NA,NA,0,1.8,13.2,10.7,NA,6.4,2.3,5.6,0.5,10.4,0,1,4.8,NA,1.8,NA,8.1,0,1,0,3.6,3,NA,0,8.4,0,NA,2,0,0
3.22,"HAWAIIAN OCEAN VIEW 4.7 NNE","HAWAIIAN OCEAN VIEW 4.7 NNE","CoCoRaHS","BI",1273,19.135,-155.747,"US1HIHI0035",NA,NA,NA,NA,0.5,6.9,13.7,NA,0.5,0.5,NA,4.8,0.3,0.5,NA,NA,NA,1,NA,NA,1.8,0.5,0,NA,NA,5.1,7.6,0.8,1.3,0.3,0.3,0.5,0.5,0.5
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,NA,7.62000000000035,10.1599999999994,NA,10.1600000000003,2.53999999999996,5.07999999999993,NA,NA,NA,0,0,2.53999999999996,7.61999999999989,0,7.62000000000035,NA,0,0,2.53999999999996,2.53999999999951,2.54000000000042,2.53999999999996,NA,5.07999999999947,2.54000000000042,7.61999999999989,0.254,0,0
4.14,"NAALEHU 4.7 WSW, HI US","CoCoRaHs","CoCoRaHs","BI",393.18,19.0421,-155.6371,"US1HIHI0057",NA,NA,NA,NA,0,3.8,1.3,0.3,NA,2.3,0,NA,3.3,10.2,0.5,0,0,0,0,5.1,1.8,0,0,0,0,7.1,7.9,1.8,9.4,0,0.5,0,0,0.5
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,2.032,0.254,0.254,NA,0.254,0,0,NA,0,4.572,0,0,0,0,0,1.016,0,0,0,0,0.508,2.286,NA,4.826,2.54,0,0,0,0,0
6.2,"NAALEHU 5.7 W","NAALEHU 5.7 W","CoCoRaHS","BI",679,19.0732,-155.6632,"US1HIHI0012",NA,NA,NA,NA,0.8,NA,7.6,10.7,5.8,NA,0.3,3.3,1.5,4.09534420416456,0,0,0,0.8,3.3,1,3,0,0,0,3.8,4.6,2.8,3,NA,0.5,2.3,0.8,0.5,0.5
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,1.26999999999998,0.762000000000171,3.30199999999991,2.79399999999987,0.761999999999944,0.7619628915625,NA,NA,0.254000000000133,1.01599999999985,0,0,1.2698974609375,6.6040039453125,1.77800000000002,1.52400000000011,0,0,0.253999999999905,1.01600000000008,1.52399999999989,NA,0.254000000000133,10.1599999999999,NA,0,1.01600000000008,0,NA,0
14,"NAALEHU 14","KAU SUGAR","COOP","BI",206,19.06032754,-155.5855501,"USC00516588",NA,NA,NA,NA,0,NA,0.5,0,4.24872712342614,NA,0,2.41737922539763,1,3,0,0,0,0,0,0.732539159211403,2.18214315622137,1,0,0,0,5.8,2.3,2.19761747763421,NA,0,0,0,0,0.366269579605702
