"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31"
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,0,0,7.36599999999999,4.31799999999998,0.761999999999716,3.81000000000017,0,0,8.12799999999993,2.54000000000019,5.58799999999997,1.26999999999998,4.31799999999998,1.01599999999985,1.01600000000008,2.03199999999993,52.0699999999999,18.0340000000003,13.2079999999999,1.77800000000025,1.77799999999979,10.6679999999999,10.1600000000003,0.507999999999811,0,0,4.06399999999985,4.57200000000034,18.2879999999998,8.88999999999987,3.30199999999991
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,0,3.302,6.096,0.254,0,0,0,0,0,13.462,1.016,0,0.762,0.254,0.762,96.012,16.002,18.796,1.27,0,0,0,0,0,0,0,0,NA,0,0
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,0,0,19.8120000000001,NA,8.88999999999987,1.26999999999998,0,0,1.52400000000011,1.77800000000002,NA,1.01599999999985,0,0.762000000000171,1.77800000000002,1.01599999999985,42.1640000000002,18.796,2.79399999999987,1.01600000000008,0.253999999999905,2.7940000000001,2.79399999999987,NA,3.80999999999995,0.761999999999944,6.85800000000017,6.60400000000004,13.97,7.8739999999998,8.8900000000001
21,"Pahala","KAU SUGAR","HydroNet-UaNet","BI",346.8624,19.2042999,-155.4872,"USC00517421","PPLH1","B16084B2",NA,NA,0,0,80.518,19.3040000000001,0.253999999999451,0,0,0,0,0,9.14400000000023,0,7.36599999999999,4.31800000000021,2.53999999999996,21.8440000000001,118.872,14.2240000000002,5.84199999999964,16.5100000000002,9.39800000000014,0,0,0,0,0,3.80999999999995,7.11200000000008,5.84199999999964,1.26999999999998,19.0500000000002
23,"KAHUKU","RAWS","RAWS","BI",1796.4912,19.23222222,-155.78,NA,"KRCH1","32639544",NA,NA,0,0,0.762,0,4.57199999999997,2.54000000000002,0.254000000000019,0.762,2.53999999999996,0.254000000000019,8.38200000000001,0.253999999999962,0.508000000000038,2.03199999999998,0.762,0,45.974,14.986,6.096,0.507999999999981,6.096,3.30199999999996,2.286,2.286,0.508000000000038,2.03199999999998,0.254000000000019,0.762,11.684,10.922,3.30199999999996
27.6,"Honaunau No. 2","NWS","HydroNet-UaNet","BI",398.0688,19.4629002,-155.8824,NA,"HAUH1","15D12742",NA,NA,0,2.54000000000087,0,6.09599999999955,67.4946995441594,6.60400000000027,6.85799999999927,3.8100000000004,3.55600000000049,14.985999999999,0.254000000000815,0.253999999999905,6.09600000000046,4.3179999999993,0,0.253999999999905,18.2880000000005,1.52399999999943,17.5260000000007,1.77799999999934,6.85800000000017,4.82600000000002,2.28600000000006,5.33399999999983,0.253999999999905,4.31800000000021,12.4459999999999,0,13.9700000000003,0,6.34999999999945
29.12,"Kealakekua","NWS","HydroNet-UaNet","BI",537.972,19.5181007,-155.9159,NA,"KLEH1","81708572",NA,NA,1.77799999999979,0,0,9.14399999999978,67.056,17.018,5.07999999999993,3.55600000000004,3.04799999999977,0,8.38200000000006,0.25400000000036,7.61999999999989,3.55600000000004,1.52399999999989,2.03200000000015,21.0819999999999,1.52399999999989,23.6220000000003,1.52399999999989,3.55600000000004,4.82600000000002,6.34999999999991,4.31800000000021,5.58799999999974,3.04799999999977,0,0,0.508000000000266,0,3.04799999999977
34,"Kapapala Ranch","NWS","HydroNet-UaNet","BI",638.556,19.2754993,-155.4514,"USC00513300","KAYH1","B16097C4",NA,NA,0,0,89.9159999999997,14.732,0.253999999999905,0,0,0,0,0.762000000000171,39.116,5.8420000000001,15.4939999999997,6.09600000000046,1.52399999999943,22.8600000000001,84.0740000000001,13.2080000000001,5.33400000000029,11.4299999999998,10.1599999999999,0,0,0,0,0,3.04800000000023,3.30199999999968,10.4140000000002,7.8739999999998,29.2100000000005
36.3,"KAPAPALA RANCH","KAPAPALA RANCH","RAWS","BI",1081,19.25811,-155.441781,NA,"KPRH1","AA10E258",NA,NA,0,0,101.346,8.38200000000006,0.507999999999925,0,0,0,0,0.253999999999905,17.7800000000001,0,8.63599999999997,3.55600000000004,1.26999999999998,26.67,83.566,15.494,2.53999999999996,9.90600000000006,10.6679999999999,0.254000000000019,0,0,0,0,3.55600000000004,4.31799999999998,9.90599999999995,2.54000000000008,23.876
38.9,"KAELAKOMO","KAELAKOMO","RAWS","BI",29.5656,19.29277778,-155.1075,NA,"KMOH1","32807432",NA,NA,0.508000000000038,3.55599999999993,33.528,3.81000000000006,2.03200000000004,1.77799999999991,0.762000000000057,0,0,0,2.28600000000006,4.31799999999987,20.3200000000002,0.507999999999925,2.28600000000006,NA,5.84199999999987,35.0520000000001,11.1759999999999,8.63600000000008,1.01599999999996,0,1.01599999999996,0.253999999999905,2.54000000000008,1.26999999999998,6.34999999999991,4.3180000000001,40.1319999999999,0,2.03200000000015
