"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19","X2020.09.20","X2020.09.21","X2020.09.22","X2020.09.23","X2020.09.24","X2020.09.25","X2020.09.26","X2020.09.27","X2020.09.28","X2020.09.29","X2020.09.30"
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,0,3.04799999999994,0.254000000000076,1.01599999999996,4.31799999999998,0.508000000000038,3.81,6.34999999999997,0.508000000000038,3.81,0.507999999999981,0,3.55599999999998,0,0,0,0,0,5.84199999999998,3.30200000000002,0,17.78,10.414,4.06400000000002,2.79399999999998,0,0,0,1.01600000000008
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,0,0,0,1.016,0,0,1.524,0,0.254,0,0,3.302,0,0,0,0,0,0,0,0,18.288,22.606,0,0,0,0,0,0
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,0,1.27000000000021,0.507999999999811,0,1.27000000000021,0,1.27000000000021,0.761999999999944,0,0.761999999999944,1.77800000000002,1.01599999999985,2.54000000000019,0.254000000000133,0,0,0,0,2.79399999999987,1.52399999999989,0.254000000000133,45.9739999999999,4.82600000000002,4.57200000000012,2.53999999999974,0,0.254000000000133,0,0
21,"Pahala","KAU SUGAR","HydroNet-UaNet","BI",346.8624,19.2042999,-155.4872,"USC00517421","PPLH1","B16084B2",NA,NA,0,10.4139999999998,3.30199999999968,3.04800000000023,0,0,0,0.253999999999451,0,0.254000000000815,0,0,9.90599999999949,0,0,0,0,0,0,0,0,54.864,3.30199999999968,0,0,0,0.254000000000815,0,2.03199999999924
23,"KAHUKU","RAWS","RAWS","BI",1796.4912,19.23222222,-155.78,NA,"KRCH1","32639544",NA,NA,6.34999999999991,5.58799999999997,0.254000000000019,1.77800000000002,5.58799999999997,0,0.761999999999944,0.761999999999944,0,1.2700000000001,5.33399999999995,0.762000000000057,5.58799999999997,0.254000000000019,0,0,0,0.508000000000038,1.26999999999987,2.28599999999994,1.52400000000011,11.684,2.28600000000006,10.6679999999999,4.06400000000008,5.58799999999997,0.254000000000019,0,0
27.6,"Honaunau No. 2","NWS","HydroNet-UaNet","BI",398.0688,19.4629002,-155.8824,NA,"HAUH1","15D12742",NA,NA,8.63599999999951,4.06400000000031,0.507999999999811,0,19.304000000001,0,0,0.507999999998901,1.52400000000034,0,14.9859999999999,3.04800000000068,9.14399999999932,0,0,0,0,0,14.0613957383669,13.4620000000004,0,0,23.3679999999995,17.7800000000007,7.8739999999998,1.26999999999953,0,0,0
29.12,"Kealakekua","NWS","HydroNet-UaNet","BI",537.972,19.5181007,-155.9159,NA,"KLEH1","81708572",NA,NA,12.1919999999996,11.1760000000008,1.01599999999962,0,13.9699999999998,0,0,3.04799999999977,2.53999999999996,0,38.3540000000007,13.7159999999994,0.762000000000171,0,0,0,0,0,13.9700000000003,5.33399999999938,0,0,18.0340000000006,14.9859999999999,13.2080000000001,0.507999999999811,2.28600000000006,0,0
34,"Kapapala Ranch","NWS","HydroNet-UaNet","BI",638.556,19.2754993,-155.4514,"USC00513300","KAYH1","B16097C4",NA,NA,0,5.08000000000038,3.80999999999949,4.31800000000021,0,0,0.25400000000036,0,0,1.26999999999953,0,5.33400000000029,1.52400000000034,0.253999999999451,0,0,0,0,0,0,0,81.0260000000003,3.80999999999995,0,3.04800000000023,0.253999999999451,0,0,3.30200000000013
36.3,"KAPAPALA RANCH","KAPAPALA RANCH","RAWS","BI",1081,19.25811,-155.441781,NA,"KPRH1","AA10E258",NA,NA,0,4.31799999999976,3.04800000000023,1.77799999999979,0,0,0.254000000000133,0,0,0,0,0.253999999999905,0.253999999999905,0,0,0,0,0,0,0,0.254000000000133,61.722,4.06399999999985,0,0.253999999999905,0,24.384,0,2.03200000000015
38.9,"KAELAKOMO","KAELAKOMO","RAWS","BI",29.5656,19.29277778,-155.1075,NA,"KMOH1","32807432",NA,NA,0,0,0,0.254,0.254,3.556,0.253999999999999,0,0,0,0,0,0,0,0,0,0,0.762000000000001,0,0,0,55.118,0.253999999999998,0,0.507999999999996,0,6.09599999999999,0,0
