"SKN","Station.Name","Observer","Network","Island","ELEV.m.","LAT","LON","NCEI.id","NWS.id","NESDIS.id","SCAN.id","SMART_NODE_RF.id","X2021.11.01","X2021.11.02","X2021.11.03","X2021.11.04","X2021.11.05","X2021.11.06","X2021.11.07","X2021.11.08","X2021.11.09","X2021.11.10","X2021.11.11","X2021.11.12","X2021.11.13","X2021.11.14","X2021.11.15","X2021.11.16","X2021.11.17","X2021.11.18","X2021.11.19","X2021.11.20","X2021.11.21","X2021.11.22","X2021.11.23","X2021.11.24","X2021.11.25","X2021.11.26","X2021.11.27","X2021.11.28","X2021.11.29","X2021.11.30"
3.9,"LOWER KAHUKU CS","LOWER KAHUKU CS","RAWS","BI",953.7192,19.10083333,-155.6697222,NA,"LKHH1","32D620C2",NA,NA,0,0,0,11.938,0,0,0,0,0,0,0.762000000000057,0.508000000000038,13.208,1.2700000000001,4.82599999999991,7.87400000000002,35.3059999999998,8.38200000000018,0,0,0,6.35000000000002,0,0.507999999999925,5.8420000000001,1.01599999999996,2.28599999999994,0.254000000000019,1.77800000000002,13.208
4.15,"SOUTH POINT NEAR NAALEHU 12SSW","NWS","STATE","BI",295.78,18.9928,-155.668,NA,"SOPH1","B1507246",NA,NA,0,0,0,0,0,0,0,0,0,0.508,0,0,13.208,1.27,7.874,5.588,24.638,13.716,0,0.508,0.762,2.54,0,0,0.762,0,2.032,0.508,0.254,38.1
9.2,"Nene Cabin","Nene Cabin","RAWS","BI",1991.7737,19.2564,-155.6144,NA,"NENH1","32D64524",NA,NA,0,NA,0.254000000000019,2.03200000000004,0,0,0,0,0,NA,0,0,0.507999999999925,0,0,41.402,2.28599999999994,0,NA,0,0,0,NA,NA,0.254000000000019,0,NA,0.254000000000019,NA,31.496
21,"Pahala","KAU SUGAR","HydroNet-UaNet","BI",346.8624,19.2042999,-155.4872,"USC00517421","PPLH1","B16084B2",NA,NA,0,0,0,0,0,0,0,0,0,0.254000000000019,0,0,19.812,1.26999999999998,3.048,3.81000000000006,33.2739999999999,5.08000000000004,0,2.79399999999998,0,1.01600000000008,0,0,0,0,11.684,0,3.55599999999993,32.5120000000001
23,"KAHUKU","RAWS","RAWS","BI",1796.4912,19.23222222,-155.78,NA,"KRCH1","32639544",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01600000000008,0.253999999999905,0.254000000000133,0,0,0,0,0,0,0,0,0,0.507999999999811,6.60400000000004,11.4300000000001
27.6,"Honaunau No. 2","NWS","HydroNet-UaNet","BI",398.0688,19.4629002,-155.8824,NA,"HAUH1","15D12742",NA,NA,0,0,0,0,0,5.33399999999892,0.507999999999811,0,0,0,0,0,0,3.04800000000068,0.507999999999811,0.254000000000815,0,5.58799999999792,0,0,0,0,0,0,0,0,0,0,7.11200000000099,0
29.12,"Kealakekua","NWS","HydroNet-UaNet","BI",537.972,19.5181007,-155.9159,NA,"KLEH1","81708572",NA,NA,0,0,0,0,0,7.11200000000008,0.253999999998996,0,0,0,0,0,0,2.03200000000015,0,0,0,0.253999999999905,0,0,0,0,0,0,0,0,0,0,5.33399999999983,0
34,"Kapapala Ranch","NWS","HydroNet-UaNet","BI",638.556,19.2754993,-155.4514,"USC00513300","KAYH1","B16097C4",NA,NA,0,0,0,0,0,0,0,0,0,0,0.253999999999905,0,21.0820000000003,0.761999999999716,5.84199999999964,28.7020000000002,28.4479999999994,1.77800000000025,0.254000000000815,3.04799999999886,0.254000000000815,0.507999999998901,0.254000000000815,0,0,0,11.9380000000001,0.507999999999811,0,18.5420000000004
36.3,"KAPAPALA RANCH","KAPAPALA RANCH","RAWS","BI",1081,19.25811,-155.441781,NA,"KPRH1","AA10E258",NA,NA,0,0,0,0,0,0,0,0,0,0,0.253999999999905,0,15.7480000000003,0.507999999999811,4.06400000000008,18.288,48.768,2.7940000000001,0.253999999999905,3.048,0,0.761999999999944,0,0,0,0,9.90599999999995,0.253999999999905,0,23.1140000000003
38.9,"KAELAKOMO","KAELAKOMO","RAWS","BI",29.5656,19.29277778,-155.1075,NA,"KMOH1","32807432",NA,NA,0,0,0,0.254000000000005,0,0,0,0,0.762,1.27,0.254000000000005,0,1.01599999999999,0,0,NA,NA,0,0,0,0,1.01600000000001,0,0.253999999999991,4.31800000000001,0,0,0,0,NA
43.3,"PUHE CS","PUHE CS","RAWS","BI",34.126,20.025,-155.8211111,NA,"PHRH1","32D61558",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524,0
47,"KEMOKU LAVA FLOW","RAWS","RAWS","BI",1706.88,19.47555556,-155.3627778,"USR0000HKEA","KKUH1","FA4447E8",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,15.494,0.507999999999981,10.16,36.576,54.61,0,0,0,0,0.253999999999962,0,0,0.762,0,0,0.254000000000019,0.507999999999981,12.7
63,"KALOKO-HONOKOHAU","RAWS","RAWS","BI",7.62,19.67277778,-156.0202778,NA,"KHOH1","FA667668",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508000000000038,0,0,0,3.55599999999998,0.507999999999981,0,0,0,0,0,0,0.254000000000019,0,0,0
70.16,"Waiaha Stream","NWS","HydroNet-UaNet","BI",460.5528,19.6331997,-155.9486,NA,"WIHH1","9321011E",NA,NA,0,0,0,0,0,1.26999999999998,1.01600000000008,0,0,0,0,0,0,0,2.03199999999993,0.254000000000133,0.253999999999905,5.58800000000019,1.52399999999989,0,0,0,0,0,0,0,0,0,4.06400000000008,0
75.1,"PTA KIPUKA ALALA","RAWS","RAWS","BI",1641.348,19.66694444,-155.7077778,"USR0000HPTK","PKAH1","32666200",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507999999999981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04800000000006,9.39799999999997
83,"QuarryRainGageatSaddleRd","USGS","USGS","BI",1286.256,19.68586111,-155.2942222,NA,"SDQH1","DDF6B6E4",NA,NA,0,0,0,0,0.254,0,2.286,0.254,0,0,0,0,12.7,0,10.922,66.294,8.89,2.032,0,0,0,6.096,0.253999999999991,0,13.97,0.254000000000019,0.253999999999991,3.30199999999999,0.253999999999991,18.796
89.15,"HONOLII STREAM NEAR PAPAIKOU NEAR HILO 3N ","USGS","USGS","BI",522.23157,19.7667,-155.1544,NA,"NLIH1","D114953C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.14400000000001,0,0.507999999999981,0.762,11.43,0.253999999999991,3.55600000000001,38.608,0.253999999999991,0,21.082,2.79399999999998,35.052
92.5,"KiholoRainGage","USGS","USGS","BI",283.96692,19.82580556,-155.8925833,NA,"KIRH1","DD60236E",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.128,0
93.12,"PUUANAHULU","RAWS","RAWS","BI",830.58,19.83277778,-155.7697222,NA,"PULH1","48703040",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"KAUPULEHU LAVA FLOW","RAWS","RAWS","BI",372.1608,19.80333333,-155.9180556,NA,"KPLH1","4870E628",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30199999999996,0
94.5,"PUU WAAWAA","RAWS","RAWS","BI",708.9648,19.795,-155.8452778,"USR0000HPUW","PWWH1","487046D0",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3180000000001,0.253999999999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.6,"WAIKOLOA","RAWS","RAWS","BI",297.7896,19.92416667,-155.7936111,NA,"WKVH1","4870C0C4",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.2,"PUHO CS","PUHO CS","RAWS","BI",29.5656,19.42194444,-155.9075,NA,"PERH1","32D6803A",NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
99,"PTA WEST","RAWS","RAWS","BI",1307.592,19.77166667,-155.7022222,"USR0000HPTW","PKWH1","32667176",NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0.254000000000019,0,0,0,NA,0,NA,0,0,0,0,0,0,0,12.192,0
102.8,"AUHMOA","RAWS","RAWS","BI",2001.9264,19.83638889,-155.6130556,NA,"AHMH1","4870D3B2",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01600000000002,0.253999999999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.4,"PTA EAST","RAWS","RAWS","BI",1959.864,19.68277778,-155.5452778,"USR0000HPTA","PTAH1","3266D18E",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.253999999999962,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38200000000006,2.28599999999994
109,"PTA RANGE 17","RAWS","RAWS","BI",1734.312,19.74583333,-155.6261111,NA,"PTRH1","3279630C",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0
113.2,"PUU MALI","RAWS","RAWS","BI",2165,19.92666,-155.44,NA,"PMLH1","3181742E",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507999999999925,0,0,0,0,0,0,0,0,0,0.761999999999944,0,0,12.446,1.524,1.52400000000011
129,"HAKALAU","RAWS","RAWS","BI",1950.72,19.82111111,-155.3305556,"USR0000HHAK","HKUH1","8374D370",NA,NA,0,0,0,0,0.112955560648388,0,0,0.112955560648388,0,0,0,0,15.7479999999996,0.254000000000133,0.254000000000133,26.924,1.77799999999979,0,0,0,0,2.71093345556131,0.25400000000036,0,5.58799999999974,0.253999999999905,0.761999999999716,4.31800000000021,0.762000000000171,13.9699999999998
133.3,"Laupahoehoe","NWS","HydroNet-UaNet","BI",499.872,19.9792,-155.2372,NA,"LPHH1","B159741A",NA,NA,0,0,0,3.04799999999977,0,0,1.01600000000053,0.253999999999905,0,0,0,0,28.9559999999992,0,3.30199999999968,10.4140000000007,0.0417858744272958,0.507999999999811,0,0,0.507999999999811,4.82600000000002,0,0,20.0659999999998,0,0,8.63599999999951,5.84200000000055,7.8739999999998
147.2,"KOHALA RANCH","KOHALA RANCH","RAWS","BI",328.8792,20.08305556,-155.8325,NA,"KHRH1","4870B654",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253999999999962,0,0,0,0,0,0,0,0,0,0,0,0.762000000000057,0
160.3,"Upolu Airport","NWS","HydroNet-UaNet","BI",34,20.265,-155.8582,NA,"UPLH1","B15017A0",NA,NA,0,0,0,0.508000000000038,0.254000000000019,0,0.761999999999944,0,0,0,0,0,0,0,0,0,10.16,0.762000000000057,0,0,0,0.508000000000038,0,0,0.254000000000019,0,0,3.55599999999993,1.01600000000008,0.507999999999925
176.3,"Kahua Ranch HQ","KAHUA RANCH","HydroNet-UaNet","BI",987.552,20.1249008,-155.7884,NA,"KASH1","15D293C2",NA,NA,0,0,0,0.254000000000133,0.254000000000133,0,1.01599999999985,0,0,0,0,0,0,0,0.762000000000171,0,1.52399999999966,0,0,0,0,0,0,0,0,0,0,13.9700000000003,10.6679999999999,0.508000000000038
185.7,"KawainuiRainGagenearKamuela","USGS","USGS","BI",1237.488,20.08533333,-155.6811667,NA,"KWSH1","DDF6A592",NA,NA,0,0,0.253999999999905,2.54000000000008,0.508000000000038,2.79399999999998,19.304,1.01599999999996,0.508000000000038,0,0.507999999999925,0.254000000000133,0,0,0,0,0.254,3.048,0.508,0.508000000000001,1.016,13.97,0.508000000000003,0.253999999999998,14.986,0,0.254000000000005,27.94,7.36599999999999,2.79400000000001
192.7,"Kamuela Upper","NWS","HydroNet-UaNet","BI",948.5376,20.0319996,-155.6667,"USC00513080","KUUH1","817075F6",NA,NA,0,0,0,0,0,0.762,1.27,0.762,1.778,0,1.016,0,0,0,0,1.778,0,0,0,0,0,3.302,0,0,2.794,0,0,16.256,7.62,0.507999999999988
201.3,"Kamuela 1","NWS","HydroNet-UaNet","BI",877.824,20.0394993,-155.6084,NA,"KMUH1","81706680",NA,NA,0,0,0,0,0,0,4.31800000000112,0.253999999998996,0,0,0,0,0,0,0,0.253999999999905,0,0.254000000000815,0.761999999999716,0,0,1.52400000000034,0,0,1.52399999999943,0.253999999999905,0,16.5100000000002,4.82600000000002,0.253999999999905
215.5,"Honokaa","NWS","HydroNet-UaNet","BI",591.9216,20.0656,-155.49,NA,"HNKH1","B15047DC",NA,NA,0,0,0,0,0,0,3.04800000000068,0,0,0,0,0,0,1.26999999999953,0,0.507999999999811,0,0.761999999999716,0.762000000000626,0.253999999999905,0,8.1279999999997,0.507999999999811,1.52400000000034,2.53999999999996,0.253999999999905,0,21.3360000000002,6.85800000000017,2.28600000000006
250.2,"Ulupalakua Ranch","NWS","HydroNet-UaNet","MA",581.5584,20.6487999,-156.3981,NA,"ULUH1","8170531A",NA,NA,3.55599999999981,0.508000000000266,3.04799999999977,0,0,0,0,0,0,0,0,0,0,2.54000000000019,13.462,0,0,0,0,0,0,0.253999999999905,0,0,0,0,2.53999999999996,0,0,0
255,"KepuniGulchRainGage","USGS","USGS","MA",225.552,20.6195,-156.2518889,NA,"KPNH1","F000D4EA",NA,NA,7.366,0,0,0,0,0,0,0,0,0,0,0,0,12.954,3.81,0.254000000000001,6.858,0,0.254000000000005,0,0,0,0,0,0,0,0,0,0,0
267.8,"KULA 1","KULA 1","RAWS","MA",1998.5736,20.68305556,-156.3216667,NA,"KLFH1","AA10F12E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,11.4300000000001,0,0,0.508000000000038,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"MAALAEA BAY","NWS","STATE","MA",302,20.7903,-156.514,NA,"P36","15DF05C6",NA,NA,0.254000000000019,0,0,0,0,0,0,0,0,0,0,0,0,3.55599999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04800000000006,0
311.2,"Kealia Pond NWR","Kealia Pond NWR","RAWS","MA",3.6576,20.7975,-156.4772222,NA,"KPDH1","32B2C438",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79400000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53999999999999,0
311.5,"Kihei 2","NWS","HydroNet-UaNet","MA",54.5592,20.7061005,-156.437,NA,"KHIH1","93202508",NA,NA,2.03200000000004,0,0,0,0,0,0,0,0,0,0,0,0,0.253999999999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324.7,"Kula Branch Stn","NWS","HydroNet-UaNet","MA",944.88,20.7577991,-156.3217,"USC00515000","KBSH1","93220610",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30200000000036,0,1.77799999999979,0,0,0,0,0,0,0,0,0,0,0,0,2.79399999999987,0
348.5,"WestWailuaikiRainGagenrKeanae","USGS","USGS","MA",472.44,20.81436111,-156.1429722,NA,"WWKH1","DD5E710A",NA,NA,0,0,5.8420000000001,13.2079999999999,1.52400000000011,0.761999999999944,1.77800000000025,1.01599999999985,0,0,0,0,0,12.192,12.7,0.253999999999678,0,1.0160000000003,0,0,0.507999999999811,20.0660000000003,0.254000000000133,0,18.288,0.254000000000001,8.128,14.732,20.9310777968232,9.14399999999999
353,"Hana AP","NWS","HydroNet-UaNet","MA",19,20.7946,-156.0157,"USC00511125","HNAH1","B150314C",NA,NA,0,0,4.31799999999976,8.63599999999997,1.52399999999989,0.508000000000266,0.253999999999905,0.762000000000171,0.253999999999451,0,1.01600000000053,0,0,NA,28.9560000000001,0,3.30200000000013,0.253999999999905,0,0,0,18.0340000000001,0,0,2.03200000000015,0,11.9380000000001,9.90599999999949,10.1600000000003,4.57200000000012
361.1,"Lahainaluna","NWS","HydroNet-UaNet","MA",238.0488,20.8909,-156.6556,NA,"LAHH1","81700366",NA,NA,0.507999999999811,0.254000000000133,0,0,0,0,0,0,0,0,0,0,0,2.53999999999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254000000000133,4.31799999999987,0
380,"PuuKukuiRainGageatalt","BALDWIN PKRS","USGS","MA",1759,20.89083333,-156.6008333,"USC00514887","PKKH1","DD73556E",NA,NA,2.54000000000087,2.28599999999915,8.1279999999997,19.5580000000009,0.253999999999905,0.253999999999905,0.253999999999905,0,0,0,0.253999999999905,0,0,6.34999999999945,0,0.253999999999905,0.253999999999905,0.254000000001724,0.253999999998996,0,0,17.0271700470794,0.253999999999905,0,5.84199999999964,0,3.80999999999949,34.036000000001,22.6059999999998,6.85799999999927
