above,station,index
Above Off Index,Waita,18.123314949837603,17.0
Above Off Index,Waita,17.6121937189769,17.0
Above On Index,Waita,26.74364659790052,19.0
Above On Index,Waita,23.6893998613414,19.0
Above On Index,Waita,59.0528255323791,19.0
Above On Index,Waita,22.960875074433055,19.0
Above On Index,Waita,45.02267369789497,19.0
Above On Index,Waita,34.539082189752975,19.0
Above On Index,Waita,32.22649555218371,19.0
Above On Index,Waita,26.4405175406852,19.0
Above On Index,Waita,53.35873921257477,19.0
Above On Index,Waita,30.818876042233224,19.0
Above Off Index,Waita,17.32028594828652,17.0
Above On Index,Waita,36.25796834065102,19.0
Above On Index,Waita,22.308766299411126,19.0
Above On Index,Waita,20.359682912118096,19.0
Above Off Index,Waita,17.87154852841752,17.0
Above On Index,Waita,28.53237893400246,19.0
Above On Index,Waita,24.3871991591653,19.0
Above On Index,Waita,19.431115179919807,19.0
Above Off Index,Waita,17.21536221175608,17.0
Above On Index,Waita,50.50845956398156,19.0
Above On Index,Waita,19.507721032606117,19.0
Above On Index,Waita,140.716,19.0
Above On Index,Waita,22.9921626175131,19.0
Above On Index,Waita,53.6570861486178,19.0
Above On Index,Waita,42.0640615724006,19.0
Above On Index,Waita,56.529931648437504,19.0
Above On Index,Waita,28.31700000000005,19.0
Above Off Index,Waita,17.916,17.0
Above On Index,Waita,63.459826140021,19.0
Above On Index,Waita,27.37727793159485,19.0
Above On Index,Waita,26.674,19.0
Above On Index,Waita,24.528,19.0
Above Off Index,Waita,18.5421142578125,17.0
Above On Index,Waita,55.85,19.0
Above On Index,Waita,122.388302937255,19.0
Above On Index,Waita,27.4319999999999,19.0
Above On Index,Waita,38.1,19.0
Above On Index,Waita,29.57399999999995,19.0
Above On Index,Waita,33.27300000000005,19.0
Above On Index,Waita,20.08200000000005,19.0
Above On Index,Waita,85.99399999999994,19.0
Above On Index,Waita,50.03599999999995,19.0
Above On Index,Waita,25.42399999999995,19.0
Above On Index,Waita,21.994999999999997,19.0
Above On Index,Waita,37.8459999999998,19.0
Above On Index,Waita,63.5,19.0
Above On Index,Waita,19.2264426932322,19.0
Above On Index,Waita,65.9380000000001,19.0
Above On Index,Waita,44.7040000000001,19.0
Above On Index,Waita,31.14000000000005,19.0
Above On Index,Waita,20.450000000000053,19.0
Above On Index,Waita,30.4444989712352,19.0
Above On Index,Waita,20.3199999999999,19.0
Above On Index,Waita,37.338,19.0
Above On Index,Waita,72.898,19.0
Above On Index,Waita,45.57167205906825,19.0
Above Off Index,Waita,17.69191097805939,17.0
Above On Index,Waita,43.380223150258416,19.0
Above On Index,Waita,19.82205419375939,19.0
Above On Index,Waita,41.4671151561006,19.0
Above On Index,Waita,39.915799216910884,19.0
Above On Index,Waita,23.361458541629602,19.0
Above Off Index,Waita,18.67593044962407,17.0
Above On Index,Waita,23.787635540724544,19.0
Above On Index,Waita,26.040043415579426,19.0
Above Off Index,Waita,18.58487937179998,17.0
Above On Index,Waita,21.02983522883168,19.0
Above On Index,Waita,24.57327329798814,19.0
Above On Index,Waita,25.059524760593696,19.0
Above Off Index,Waita,18.91962786010384,17.0
Above On Index,Waita,20.77725298005798,19.0
Above Off Index,Waita,17.280015453335597,17.0
Above Off Index,Waita,17.44997188320419,17.0
Above On Index,Waita,34.334807653874414,19.0
Above On Index,Waita,19.252026518712206,19.0
Above Off Index,Waita,17.672169695444847,17.0
Above Off Index,Waita,17.77573197711194,17.0
Above On Index,Waita,22.773161448654882,19.0
Above On Index,Waita,38.98485627949698,19.0
Above On Index,Waita,23.47768960483672,19.0
Above Off Index,Waita,17.403447171914017,17.0
Above Off Index,Waita,17.669861722967404,17.0
Above On Index,Waita,58.376793039988456,19.0
Above On Index,Waita,59.538554754891535,19.0
Above Off Index,Waita,17.051073278868312,17.0
Above On Index,Waita,40.88230040847888,19.0
Above On Index,Waita,28.6492691632016,19.0
Above On Index,Waita,23.99907686610822,19.0
Above On Index,Waita,116.44465657877592,19.0
Above On Index,Waita,76.79799565958595,19.0
Above On Index,Waita,35.0733457237999,19.0
Above On Index,Waita,24.417536611075082,19.0
Above On Index,Waita,28.557244722484977,19.0
Above On Index,Waita,45.4654278582531,19.0
Above On Index,Waita,19.91786350900636,19.0
Above On Index,Waiakalua,18.123314949837603,12.0
Above On Index,Waiakalua,17.6121937189769,12.0
Above On Index,Waiakalua,15.88063066434336,12.0
Above On Index,Waiakalua,13.324838197209067,12.0
Above On Index,Waiakalua,15.481323304510202,12.0
Above On Index,Waiakalua,16.61627620820274,12.0
Above On Index,Waiakalua,26.74364659790052,12.0
Above On Index,Waiakalua,14.585690872338194,12.0
